movieCd,movieNm,audiAcc
20179462,위대한 쇼맨,1514467
20209161,언더워터,58253
20207893,프리즌 이스케이프,171325
20208122,카페 벨에포크,42007
20207501,그집,19455
20208264,미스비헤이비어,14787
20208282,더 플랫폼,61779
20196782,초미의 관심사,10351
20209029,아홉 스님,9020
20173226,패왕별희 디 오리지널,90898
20207893,프리즌 이스케이프,126975
20179462,위대한 쇼맨,1449682
20208282,더 플랫폼,51828
20208122,카페 벨에포크,21795
20208686,콜 오브 와일드,32242
20189987,킬러의 보디가드 무삭제 특별판,10424
20173226,패왕별희 디 오리지널,84699
20207341,레이니 데이 인 뉴욕,84144
20113252,톰보이,23992
20205402,트롤: 월드 투어,144410
20207893,프리즌 이스케이프,67815
20208282,더 플랫폼,29771
20207341,레이니 데이 인 뉴욕,73952
20208686,콜 오브 와일드,19873
20207722,저 산 너머,93832
20205402,트롤: 월드 투어,135739
20173226,패왕별희 디 오리지널,74460
20113252,톰보이,14534
20197397,나의 청춘은 너의 것,80871
20208562,씨 피버,7124
20205402,트롤: 월드 투어,118771
20207341,레이니 데이 인 뉴욕,46728
20207722,저 산 너머,76135
20173226,패왕별희 디 오리지널,58368
20197397,나의 청춘은 너의 것,71221
20181685,호텔 레이크,61129
20207893,프리즌 이스케이프,22997
20206441,마이 스파이,51332
20192399,1917,858817
20167904,라라랜드,3728014
20167904,라라랜드,3689715
20192399,1917,809304
20206190,서치 아웃,31624
20124721,어벤져스,7084961
20206021,건즈 아킴보,26820
20196716,유령선,15591
20204741,비밀정보원: 인 더 프리즌 ,17835
20148493,어벤져스: 에이지 오브 울트론,10501765
20206865,애프터 웨딩 인 뉴욕 ,6794
19888010,시네마 천국,42622
20192399,1917,785040
20167904,라라랜드,3662420
20206190,서치 아웃,20627
20206021,건즈 아킴보,19368
20206402,오픈 더 도어 ,24024
20205262,엽문4: 더 파이널,65832
20204741,비밀정보원: 인 더 프리즌 ,10666
20196716,유령선,8160
20204107,주디,88718
20206447,라라걸,6430
20192399,1917,759393
20205262,엽문4: 더 파이널,53953
20204107,주디,82705
20206402,오픈 더 도어 ,11954
20199842,인비저블맨,566214
20206446,n번째 이별 중,18935
20167904,라라랜드,3639506
20205902,신과 나: 100일간의 거래,5780
20205841,더 터닝 ,15305
20205708,스케어리 스토리:어둠의 속삭임 ,42506
20199842,인비저블맨,535995
20192399,1917,706174
20204107,주디,40929
20205708,스케어리 스토리:어둠의 속삭임 ,26336
20167904,라라랜드,3623944
20204791,다크 워터스 ,118836
20193321,정직한 후보,1529330
20206424,사랑하고 있습니까,8749
20190280,날씨의 아이,668047
20180962,지푸라기라도 잡고 싶은 짐승들,618938
20199842,인비저블맨,493249
20192399,1917,666591
20204791,다크 워터스 ,103430
20193321,정직한 후보,1520806
20180962,지푸라기라도 잡고 싶은 짐승들,612036
20192240,작은 아씨들,847954
20180523,스타 이즈 본,519163
20205096,세인트 아가타 ,9666
20135428,어바웃 타임,3435478
20010238,메멘토,28685
20199842,인비저블맨,420320
20192399,1917,610687
20204791,다크 워터스 ,62182
20180962,지푸라기라도 잡고 싶은 짐승들,597646
20192240,작은 아씨들,835161
20193321,정직한 후보,1498969
20180523,스타 이즈 본,506861
20135428,어바웃 타임,3429612
20040598,해리포터와 아즈카반의 죄수,1832133
20204681,더 보이 2: 돌아온 브람스 ,22973
20193321,정직한 후보,1351511
20180962,지푸라기라도 잡고 싶은 짐승들,370653
20192399,1917,283037
20192240,작은 아씨들,709865
20182447,클로젯,1253193
20183782,기생충,10277246
20184891,수퍼 소닉,113356
20180939,남산의 부장들,4748005
20193911,"하이, 젝시",21718
20198431,버즈 오브 프레이(할리 퀸의 황홀한 해방),399872
20193321,정직한 후보,911455
20182447,클로젯,1147561
20192240,작은 아씨들,464496
20180939,남산의 부장들,4723684
20183782,기생충,10228435
20198431,버즈 오브 프레이(할리 퀸의 황홀한 해방),381625
